4ms,0
6ms,0
6ms,0
5ms,0
12ms,0
5ms,0
6ms,0
10ms,0
4ms,0
10ms,0
10ms,0
9ms,0
7ms,0
5ms,0
12ms,0
10ms,0
7ms,0
6ms,0
6ms,0
7ms,0
6ms,0
5ms,0
4ms,0
6ms,0
4ms,0
6ms,0
6ms,0
8ms,0
5ms,0
6ms,0
43ms,0
10ms,0
6ms,0
6ms,0
7ms,0
8ms,0
7ms,0
9ms,0
8ms,0
7ms,0
50ms,0
8ms,0
8ms,0
10ms,0
7ms,0
13ms,0
60ms,0
6ms,0
4ms,0
5322ms,0
5ms,0
7ms,0
5ms,0
6ms,0
5ms,0
5ms,0
11ms,0
5ms,0
7ms,0
8ms,0
9ms,0
6ms,0
171ms,0
9ms,0
4ms,0
8ms,0
6ms,0
7ms,0
11ms,0
9ms,0
6ms,0
7ms,0
7ms,0
8ms,0
10ms,0
7ms,1O
8ms,2O
10ms,4O
14ms,6O
15ms,8O
6ms,0
6ms,1O
6ms,2O
9ms,4O
14ms,6O
15ms,8O
7210ms,0
20114ms,0
12ms,0
8ms,1O
11ms,2O
12ms,4O
16ms,6O
14ms,8O
10ms,0
7ms,1O
9ms,2O
10ms,4O
14ms,6O
16ms,8O
6ms,0
4ms,1O
4ms,2O
8ms,4O
13ms,6O
13ms,8O
4ms,0
3ms,1O
3ms,2O
5ms,4O
9ms,6O
9ms,8O
26588ms,0
6ms,0
5ms,1O
6ms,2O
9ms,4O
14ms,6O
15ms,8O
10433ms,0
11ms,0
11ms,1O
11ms,2O
16ms,4O
26ms,6O
32ms,8O
9ms,0
8ms,1O
7ms,2O
11ms,4O
15ms,6O
19ms,8O
8ms,0
103793ms,0
5ms,0
10625ms,0
7ms,0
184129ms,0
25680ms,0
187306ms,0
128379ms,0
19902ms,0
9624ms,0
84943ms,0
12ms,0
6ms,0
6ms,0
6ms,0
4ms,0
4ms,1O
3ms,2O
6ms,4O
10ms,6O
10ms,8O
7ms,0
6ms,1O
5ms,2O
9ms,4O
15ms,6O
16ms,8O
6ms,1S
6ms,2S
9ms,4S
11ms,6S
13ms,8S
7ms,0
4ms,1O
3ms,2O
5ms,4O
7ms,6O
12ms,8O
3ms,1S
3ms,2S
9ms,4S
7ms,6S
9ms,8S
